first name,last name,Institution,role
Daniel,Altshuler,Heinrich-Heine-Universität Düsseldorf,
Jeroen,Groenendijk,"Universiteit van Amsterdam, ILLC",
Nathan,Klinedinst,University College London,
Luisa,Marti,"Queen Mary, University of London",
Veneeta,Dayal,Rutgers University (USA),
Greg,Carlson,U Rochester,
Daniel,Lassiter,"Department of Psychology, Stanford University",
Kai,Von Fintel,"Department of Linguistics & Philosophy, MIT",
Friederike,Moltmann,"IHPST, Paris",
Orin,Percus,University of Nantes / LLING EA 3827,
Hannah,Rohde,University of Edinburgh,
Cristina,Schmitt,Michigan State University,
Kyle,Rawlins,,
Kathryn,Davidson,University of Connecticut,
Igor,Yanovich,MIT,
Alice,Ter Meulen,"Dept. Linguistique, Université de Geneve, Suisse (CH)",
Hana,Filip,Heinrich-Heine University,
Yasutada,Sudo,University College London,
Kyle,Johnson,University of Massachusetts at Amherst,
Valentine,Hacquard,University of Maryland,
Itamar,Francez,University of Chicago,
Edit,Doron,The Hebrew University of Jerusalem,
Jonathan,Bobaljik,University of Connecticut,
Rajesh,Bhatt,UMass Amherst,
Eytan,Zweig,,
Emmanuel,Chemla,LSCP,
Jessica,Rett,UCLA,
Ron,Artstein,USC Institute for Creative Technologies,
Louise,McNally,Universitat Pompeu Fabra,
Seth,Cable,University of Massachusetts,
Liina,Pylkkanen,New York University,
Uli,Sauerland,ZAS,
Marta,Abrusan,CNRS,
Craige,Roberts,OSU,
Scott,Anderbois,UC Santa Cruz,
Todor,Koev,Rutgers Univ,
Kristen,Syrett,Rutgers University,
Guillaume,Thomas,MIT dpt of linguistics and philosophy,
Graeme,Forbes,,
Barbara,Partee,University of Massachusetts Amherst,
Ilaria,Frana,University of Massachusetts at Amherst,
Roumyana,Pancheva,USC,
Chris,Cummins,Universität Bielefeld,
Gennaro,Chierchia,harvard University,
Reinhard,Muskens,Tilburg Center for Logic and Philosophy of Science,
Chris,Potts,Stanford University,
Alan,Bale,Concordia University,
Carl,Pollard,Ohio State University,
Barbara,Abbott,Michigan State University,
Haihua,Pan,City University of Hong Kong,
Michael Yoshitaka,Erlewine,MIT,
Anastasia,Giannakidou,University of Chicago,
Ashwini,Deo,Yale University,
Suwon,Yoon,Bergische Universität Wuppertal,
Richmond,Thomason,University of Michigan,
Jon,Gajewski,University of Connecticut,
Stefan,Kaufmann,"Department of Linguistics, University of Connecticut",
Barry,Schein,University of Southern California,
Mana,Kobuchi-Philip,,
Angelika,Kratzer,University of Massachusetts at Amherst,
Christopher,Tancredi,Keio University,
Susanne,Wurmbrand,University of Connecticut,
Jean,Gawron,San Diego State University,
Sarah,Moss,,
Eric,Mccready,"Dept. of English, Aoyama Gakuin University",
Adrian,Brasoveanu,UC Santa Cruz,
Shoichi,Takahashi,Nihon University,
Kimiko,Nakanishi,Ochanomizu University,
Ivano,Caponigro,"University of California, San Diego",
Robert,Henderson,McGill University,
Cheung,Chi-Hang Candice,"Dept of Linguistics and Modern Languages, The Chinese University of Hong Kong",
Judith,Tonhauser,The Ohio State University,
Nicholas,Asher,CNRS Laboratoire IRIT,
Beth,Levin,Stanford University,
Matthew,Wagers,"University of California, Santa Cruz",
,Gaertner,ZAS,
Sophia,Malamud,Brandeis University,
Jesse,Harris,Pomona College,
Susan,Rothstein,Bar-Ilan University,
Meredith,Landman,Pomona College,
Sarah,Murray,Cornell University,
Winfried,Lechner,University of Athens,
Robin,Cooper,Gteborg University,
Fred,Landman,Professor,
Cecile,Meier,Universitaet Frankfurt,
Makoto,Kanazawa,National Institute of Informatics,
Maribel,Romero,University of Konstanz,
Jakub,Dotlacil,University of California Santa Cruz,
Maria,Aloni,UvA,
Robert,van Rooij,University of Amsterdam,
Elizaveta,Bylinina,Utrecht University,
Doris,Penka,Universitaet Konstanz,
Niina Ning,Zhang,National Chung-Cheng University,
Andrew,Koontz-Garboden,The University of Manchester,
Martina,Faller,The University of Manchester,
Paul,Elbourne,Queen Mary and Westfield College,
Heather,Burnett,"Université de Montréal/École normale supérieure, Paris",
Christian,Ebert,University of Tuebingen,
Tim,Fernando,Trinity College,
Cornelia,Ebert,University of Stuttgart,
Andreas,Haida,"Humboldt University, Berlin",
Galit,W. Sassoon,Bar Ilan University,
Janneke,Huitink,Goethe-University,
Paul,Pietroski,UMD,
Vincent,Homer,ENS - IJN,
Michael,Franke,University of Amsterdam,
Ede,Zimmermann,Goethe Universität Frankfurt,
Angeliek,Van Hout,University of Groningen,
Mark,Steedman,University of Edinburgh,
Floris,Roelofsen,"ILLC, University of Amsterdam",
Tom,Werner,Carnegie Mellon University,
Anamaria,Falaus,University of the Basque Country (UPV/EHU),
Yoad,Winter,Utrecht University,
Andrew,Kehler,UC San Diego,
Stephanie,Solt,ZAS,
Chris,Kennedy,University of Chicago,
Kjell,Sæbø,University of Oslo,
Yael,Sharvit,uconn,
Chung-Hye,Han,Simon Fraser University,
Christine,Gunlogson,University of Rochester,
Francis,Corblin,CNRS,
Roni,Katzir,Tel Aviv University,
Jason,Merchant,University of Chicago,
Stefan,Hinterwimmer,"Institute of Cognitive Science, University of Osnabrueck",
Elizabeth,Coppock,University of Gothenburg,
Benjamin,Slade,University of Texas at Arlington,
Marcin,Morzycki,Michigan State University,
Michela,Ippolito,University of Toronto,
Amy Rose,Deal,UC Santa Cruz,
Peter,Klecha,University of Chicago,
Elena,Herburger,Georgetown University,
